"Book Id","ISBN","Bookshelf","Tags","Wishlist","Started Reading On","Ended Reading On","Pages Read","Read","My Rating","Review","Short note","Advanced note","Signed","Number of copies","Quotes","Flashcards","Title","Subtitle","Language","Categories","Authors","Illustrators","Translators","Editors","Narrators","Photographers","Publisher","Page Count","Published At","Format","Series","Volume","Loan Type","Loan Name","Loan Start Date","Loan Due Date","Purchase From","Purchase Price","Purchase Date","Transfer Type","Transfer place","Transfer Price","Transfer Date","Description","Date added"
"715139","9780689854293","Fiction","",0,,,256,1,,,,,0,1,"","","The Woman Who Rides Like a Man (Song of the Lioness, #3)",,"en","Adventure","Tamora Pierce","Marilee Heyer","","","","","Atheneum Books",256,"2003-05-01","hardcover",,,,,,,,,,,,,,"""She rides like a man, goes unveiled as a man, fights as a man. Let her prove herself worthy as a man.""Newly knighted, Alanna of Trebond seeks adventure in the vast desert of Tortall. Captured by fierce desert dwellers, she is forced to prove herself in a duel to the death -- either she will be killed or she will be inducted into the tribe. Although she triumphs, dire challenges lie ahead. As her mythic fate would have it, Alanna soon becomes the tribe's first female shaman -- despite the desert dwellers' grave fear of the foreign woman warrior. Alanna must fight to change the ancient tribal customs of the desert tribes -- for their sake and for the sake of all Tortall.","2023-04-01"
"1116182","9780689856129","Fiction","",0,,,304,1,,,,,0,1,"","","Wolf-speaker (Immortals, #2)",,"en","Science Fiction,Fantasy","Tamora Pierce","","","","","","Atheneum Books for Young Readers",304,"2003-01-01","hardcover",,,,,,,,,,,,,,"When Daine is summoned by the wolf pack that saved her life a year earlier, she knows she has to go. She and Numair travel to Dunlath Valley to answer the call. But when they arrive, Daine realizes with a shock that it's not just the animals whose lives are threatened; people are in danger too. Dunlath's rulers have discovered black opals in their valley and are dead set on mining the magic these stones embody. Daine learns that Dunlath's lord and lady plan to use this power to overthrow King Jonathan -- even if it means irreversibly damaging the land and killing their workers.On a mission to save both her animal friends and her human ones, Daine has to master her wild magic in order to fight for the kingdom and triumph over the would-be usurpers.","2023-12-02"
"26423","9780679882893","Fiction","",0,,,304,1,,,,,0,1,"","","Wolf-Speaker",,"en","Fantasy & Magic","Tamora Pierce","","","","","","Random House Books for Young Readers",304,"1997-05-13","paperback",,,,,,,,,,,,,,"When humans start cutting down trees and digging holes in peaceful Dunlath Valley, the wolves know that something is wrong. They send a messenger to the only human who will listen -- Daine, a fourteen-year-old girl with the unpredictable power of wild magic. Daine and her closest companions heed the wolves' cry for help. But the challenge they are about to face in the valley is greater than they can possibly imagine...

Set in Tortall during the reign of King Jonathan III and Queen Thayet, Wolf-Speaker is the second book in The Immortals series, which chronicles the time when the world is invaded by immortal creatures and a girl is born with a magical gift that could restore the very balance of nature.","2024-06-01"
"9869012","9780356522142","Fiction","",0,,,0,0,,,,,0,1,"","","The Wolf of Oren-Yaro (Chronicles of the Bitch Queen, #1)",,,"","K.S. Villoso","","","","","","Orbit",429,"2023-07-01","hardcover","Chronicles of the Bitch Queen",1,,,,,,,,,,,,"“They called me “bitch”, the she-wolf, because I murdered a man and made my husband leave the night before they crowned me.” 

Born under the crumbling towers of Oren-yaro, Talyien aren dar Orenar's life unfolded like a storybook. The shining jewel and legacy of the War of the Wolves that nearly tore her nation apart, her marriage to the Ikessar heir, Rayyel, spoke of peaceful days to come.

But all storybooks must end. Rayyel suddenly left the night before they were to be crowned, leaving the land as divided as before.

Years later, in the midst of the warlords' rising tensions, Talyien receives a message from Rayyel, urging her to meet with him in the Empire of Ziri-nar-Orxiaro. An assassination attempt interrupts Talyien's quest for reconciliation, sending the queen struggling in a strange and dangerous land. With betrayals in every twist and turn, she is forced to enlist the help of a con-artist to survive and save her husband from the clutches of those who would seek to use him for their gain...if he would let her.","2023-12-29"
"196639","9780316417150","Fiction","",0,,,0,0,,,,,0,1,"","","The Wolf in the Whale",,"en","Fantasy","Jordanna Max Brodsky","","","","","","Redhook",544,"2019-01-29","paperback",,,,,,,,,,,,,,"A sweeping tale of clashing cultures, warring gods, and forbidden love: In 1000 AD, a young Inuit shaman and a Viking warrior become unwilling allies as war breaks out between their peoples and their gods-one that will determine the fate of them all.

""There is a very old story, rarely told, of a wolf that runs into the ocean and becomes a whale.""

Born with the soul of a hunter and the spirit of the Wolf, Omat is destined to follow in her grandfather's footsteps-invoking the spirits of the land, sea, and sky to protect her people.

But the gods have stopped listening and Omat's family is starving. Alone at the edge of the world, hope is all they have left.

Desperate to save them, Omat journeys across the icy wastes, fighting for survival with every step. When she meets a Viking warrior and his strange new gods, they set in motion a conflict that could shatter her world...or save it.","2023-03-23"
"10966883","9798364372697","Fiction","",0,,,0,0,,,,,0,1,"","","The Wolf and the Wildflower (Fated Fae)",,"en","","Ella Fields","","","","","","Independently published",342,"1970-01-01","hardcover",,,,,,,,,,,,,,"A standalone romantic fantasy from the world of The Savage and the Swan","2023-11-09"
"3197153","9780593101193","Fiction","",0,,,0,0,,,,,0,1,"","","The Witch's Heart",,"en","Fairy Tales,Fairy Tales, Folk Tales, Legends & Mythology,Historical","Genevieve Gornichec","","","","","","Ace",368,"2021-11-30","paperback",,,,,,,,,,,,,,"When a banished witch falls in love with the legendary trickster Loki, she risks the wrath of the gods in thismoving, subversive national bestselling debut novel that reimagines Norse mythology.

Angrboda’s story begins where most witches' tales end: with a burning. A punishment from Odin for refusing to provide him with knowledge of the future, the fire leaves Angrboda injured and powerless, and she flees into the farthest reaches of a remote forest. There she is found by a man who reveals himself to be Loki, and her initial distrust of him transforms into a deep and abiding love.

Their union produces three unusual children, each with a secret destiny, who Angrboda is keen to raise at the edge of the world, safely hidden from Odin’s all-seeing eye. But as Angrboda slowly recovers her prophetic powers, she learns that her blissful life—and possibly all of existence—is in danger.

With help from the fierce huntress Skadi, with whom she shares a growing bond, Angrboda must choose whether she’ll accept the fate that she’s foreseen for her beloved family...or rise to remake their future. From the most ancient of tales this novel forges a story of love, loss, and hope for the modern age.","2023-03-23"
"2232686","9780441775583","Fiction","",0,,,0,0,,,,,0,1,"","","Witch Wld 06/sorcer",,"en","Fiction","Andre Norton","","","","","","Ace",280,"1986-06-01","paperback",,,,,,,,,,,,,,"Kaththea the Sorceress called forth a power such as no longer existed on the distant planet known as the Witch World. It was a power so great that it could destroy all that she loved best - and might even prove to be a greater evil than the shadow itself. Yet there could be no other choice for Kaththea than to call on Hilarion in the death-naming. For she was a witch deprived of power and she needed a guide to regain her lost skills and her lost world. There was only this ancient one, the opener of gates, with force mighty enough.","2023-12-02"
"847556","9781338089530","Graphic Novels & Manga","",0,,,0,0,,,,,0,1,"","","The Witch Boy",,"en","Juvenile Fiction","Molly Knox Ostertag","","","","","","Scholastic Inc.",224,"2017-10-31",,,,,,,,,,,,,,,"In thirteen-year-old Aster's family, all the girls are raised to be witches, while boys grow up to be shapeshifters. Anyone who dares cross those lines is exiled. Unfortunately for Aster, he still hasn't shifted . . . and he's still fascinated by witchery, no matter how forbidden it might be. When a mysterious danger threatens the other boys, Aster knows he can help -- as a witch. It will take the encouragement of a new friend, the non-magical and non-conforming Charlie, to convince Aster to try practicing his skills. And it will require even more courage to save his family . . . and be truly himself.","2023-03-28"
"521429","9780139615320","Non-Fiction","",0,,,0,0,,,,,0,1,"","","Wisdom of the Mystic Masters",,"en","Personal Growth,Happiness,Philosophy","Joseph J. Weed","","","","","","Prentice Hall Press",224,"1971-02-01","paperback",,,,,,,,,,,,,,"This book contains the most awesome secrets ever known to man—ready to be used by you to attain the riches, influence and joy you've always wanted! By using the staggering power of these age-old secrets—jealously guarded by the wealthiest and most influential people in history—you'll quickly discover how to release a flood of riches into your life... how to gain influence and control over others... bring new romance into your marriage or social life... gain the instant respect of everyone you meet... overcome any threat that face you now!

Here is the ancient might of the Mystic Masters immediately ready to help you to the pinnacle of money, fame, and power!","2023-12-18"
"8122727","9781492683865","Fiction","",0,,,0,0,,,,,0,1,"","","Wings Once Cursed and Bound (Mythwoven, #1)",,"en","Myth & Legend Told As Fiction,Romance","Piper J. Drake","","","","","","Sourcebooks, Inc",304,"2023-04-11","paperback","Mythwoven",1,,,,,,,,,,,,"For fans of Sarah J. Maas and Jennifer Armentrout comes a bold and captivating fantasy by bestselling author Piper J. Drake.

My wings unbound, I am the Thai bird princess
The kinnaree
And no matter the cost,
I will be free.

Bennet Andrews represents a secret organization of supernatural beings dedicated to locating and acquiring mythical objects, tucking them safely away where they cannot harm the human race. When he meets Peeraphan Rahttana, it's too late—she has already stepped into The Red Shoes, trapped by their curse to dance to her death.

But Bennet isn't the only supernatural looking for deadly artifacts. And when the shoes don't seem to harm Peeraphan, he realizes that he'll have to save her from the likes of creatures she never knew existed. Bennett sweeps Peeraphan into a world of myth and power far beyond anything she ever imagined. There, she finds that magic exists in places she never dreamed—including deep within herself.","2023-05-19"
"80935","9781435141834","Fiction","",0,,,1200,1,,,,,0,1,"","","William Shakespeare: Complete Plays",,"en","Shakespeare Plays","William Shakespeare","","","","","","Sterling",1200,"2012-04-30","hardcover",,,,,,,,,,,,,,"King Lear. Hamlet, Prince of Denmark. Romeo and Juliet. Macbeth. Othello, the Moor of Venice. A Midsummer Night’s Dream. The Merchant of Venice. Lovers of literature will immediately recognize these as signature dramas of William Shakespeare, whose plays still rank as the greatest works ever produced for the stage. More than four centuries after they were written, they have yet to be surpassed for their poetry and their insight into the human condition.

William Shakespeare: Complete Plays collects all thirty-seven of the immortal Bard’s comedies, tragedies, and historical plays. In this volume all of Shakespeare’s memorable characters—star-crossed lovers, majestic monarchs, wise fools, lovable rogues, treacherous villains, conflicted heroes, cagey heroines, and creatures magical and mythic—strut and fret their hour upon the stage. These characters, and the roles they play, have influenced virtually all literature written since. For readers who appreciate the emotional power of the written word, and the heights of humor and the depths of drama that can be encompassed by a single type of literature, William Shakespeare: Complete Plays is an indispensable collection of timeless masterpieces.","2023-04-01"
"206673","9780439441711","Fiction","",0,,,0,0,,,,,0,1,"","","The Will of the Empress (Circle Reforged, #1)",,"en","Science Fiction,Fantasy","Tamora Pierce","","","","","","Scholastic Press",550,"2005-10-01","hardcover",,,,,,,,,,,,,,"A searing reunion - the four mages are together again!

For years the Empress of Namorn has pressed her young cousin, Lady Sandrilene fa Toren, to visit her vast lands within the Empire's borders. Sandry has avoided the invitation for as long as it was possible. Now, listening to her guilty conscience, Sandry has agreed to pay that overdue visit.

Sandry's uncle promises guards to accompany her. But they're hardly a group of warriors! They're her old friends from Winding Circle: Daja, Tris, and Briar. Sandry hardly knows them now. They've grown up and grown apart. Sandry isn't sure they'll ever find their old connection again - or if she even wants them to.

When they arrive at the palace, it slowly dawns on Sandry why the Empress has really brought her to Namorn. She's set a cunning trap to keep Sandry in the brutal Empire forever, a simpering lady in her cousin's court and the miserable wife of a noble.

The Empress has wily and powerful mages on her side. But so, of course, does Sandry...if she can get them to work together.","2023-06-24"
"8766679","9780312147631","Non-Fiction","",0,,,303,1,,,,,0,1,"","","The Wilderness Survival Handbook","A Practical, All-Season Guide To Short-Trip Preparation And Survival Techniques For Hikers, Skiers, Backpackers, Canoeists, Snowmobilers, Travellers In Light Aircraft-And Anyone Stranded In The Outdoors","en","Reference","Alan Fry","","","","","","Macmillan",303,"1996-09-15","paperback",,,,,,,,,,,,,,"Tells how to find food, water, and shelter in the wilderness","2023-04-01"
"2324287","9780593337509","Fiction","",0,,,0,0,,,,,0,1,"","","Wild Sign",,"en","Paranormal,Romance,Urban Fantasy","Patricia Briggs","","","","","","Ace",368,"2021-03-16","hardcover","Alpha and Omega",6,,,,,,,,,,,,"Mated werewolves Charles Cornick and Anna Latham must discover what could make an entire community disappear--before it's too late--in this thrilling entry in the #1 New York Times bestselling Alpha and Omega series.

In the wilds of the Northern California mountains, all the inhabitants of a small town have gone missing. It's as if the people picked up and left their possessions behind. With a mystery on their hands and no jurisdiction on private property, the FBI dumps the whole problem in the lap of the land owner, Aspen Creek, Inc.--aka the business organization of the Marrok's pack.

Somehow, the pack of the Wolf Who Rules is connected to a group of vanished people. Werewolves Charles Cornick and Anna Latham are tasked with investigating, and soon find that a deserted town is the least of the challenges they face.

Death sings in the forest, and when it calls, Charles and Anna must answer. Something has awakened in the heart of the California mountains, something old and dangerous--and it has met werewolves before.","2023-03-23"
"8971256","9780990440000","Non-Fiction","",0,,,0,1,,,,,0,1,"","","The Wild Mushroom Cookbook: Recipes From Mendocino","Recipes from Mendocino","en","Cooking (Mushrooms)","Alison L. Gardner,Merry Winslow","Merry Winslow","","","","","Barefoot Naturalist Press",,"2014-01-01",,,,,,,,,,,,,,,"The most comprehensive collection of wild mushroom recipes ever assembled in one book, from breakfast to dinner, appetizers to dessert. It also describes the best uses for different mushrooms, mentions procedures useful in their preparation, and covers the best methods of preservation for different species. Full of ideas which may also be applied to store-bought mushrooms, this book will stimulate your imagination and guide your creativity.--Publisher.","2023-06-10"
"4370298","9780689317613","Fiction","",0,,,260,1,,,,,0,1,"","","Wild Magic (Immortals, #1)",,"en","Science Fiction","Pierce Tamora","","","","","","Atheneum Books",260,"1992-12-01","hardcover",,,,,,,,,,,,,,"The mage Numair, the knight Alanna, and Queen Thayet enlist thirteen-year-old Daine's help to battle the dreadful immortal creatures that have recently begun to attack the kingdom of Tortall.","2024-06-01"
"195482","9780689856112","Fiction","",0,,,309,1,,,,,0,1,"","","Wild Magic (Immortals, #1)",,"en","Juvenile Fiction","Tamora Pierce,Marilee Heyer","","","","","","Simon Schuster",309,"2003-06-01","hardcover",,,,,,,,,,,,,,"""""If anyone might be a hero -- could I?"" she asked herself and smiled.""All the orphaned Daine wants when she comes to Tortall is a job. What she finds is magic in many forms. Hired by the Queen's Riders because of her knack with animals, Daine soon reveals that her knack is truly ""magical."" Not only do animals obey her, but they understand her words. Under the tutelage of the great mage Numair, Daine struggles to focus her powers and confront the nightmares of her past. And so her wild magic grows even stronger. She now can sense the presence of the immortals, evil creatures who threaten the future of Tortall. But Daine will have to learn to trust humans before she can come to terms with her powers and her past -- and protect the kingdom from immortal invasion.","2023-04-01"
"886871","9780441019014","Fiction","",0,,,0,0,,,,,0,1,"","","A Wild Light",,"en","Urban Fantasy,Urban,Paranormal","Marjorie M. Liu","","","","","","Ace",308,"2010-07-27","paperback","A Hunter Kiss Novel",3,,,,,,,,,,,,"View our feature on Marjorie Liu’s A Wild Light.For too long Maxine Kiss has felt an inexplicable darkness inside her-a force she channels into hunting the demons bent on destroying the human race. But when she finds herself covered in blood and crouched beside her grandfather's dead body with no memory of what happened, Maxine begins to fear that the darkness has finally consumed her.","2023-12-02"
"30462","9780316310352","Fiction","",0,,,336,1,,,,,0,1,"","","The Wicked King (The Folk of the Air, #2)",,"en","Fiction,General,Adventure","Holly Black","","","","","","Little, Brown Books for Young Readers",336,"2019-01-08","hardcover","The Folk of the Air",2,,,,,,,,,,,,"You must be strong enough to strike and strike and strike again without tiring.

The first lesson is to make yourself that strong.

Jude has bound the wicked king, Cardan, to her, and made herself the power behind the throne. Navigating the constantly shifting political alliances of Faerie would be difficult enough if Cardan were biddable. But he does everything in his power to humiliate and undermine her, even as his fascination with her remains undiminished.

When it becomes all too clear that someone close to Jude means to betray her, threatening her life and the lives of everyone she loves, Jude must uncover the traitor and fight her own complicated feelings for Cardan to maintain control as a mortal in a faerie world.","2023-04-09"
"20213","9780060987107","Fiction","",0,,,432,1,,,,,0,1,"","","Wicked","The Life and Times of the Wicked Witch of the West","en","FICTION/Fantasy / Contemporary,FICTION/Fairy Tales, Folk Tales, Legends & Mythology,FICTION/Fantasy / Epic","Gregory Maguire","Douglas Smith","","","","","William Morrow Paperbacks",432,"1996-11-06","paperback","Wicked Years",1,,,,,,,,,,,,"When Dorothy triumphed over the Wicked Witch of the West in L. Frank Baum's classic tale, we heard only her side of the story. But what about her arch-nemesis, the mysterious witch? Where did she come from? How did she become so wicked? And what is the true nature of evil? 

 Gregory Maguire creates a fantasy world so rich and vivid that we will never look at Oz the same way again. Wicked is about a land where animals talk and strive to be treated like first-class citizens, Munchkinlanders seek the comfort of middle-class stability and the Tin Man becomes a victim of domestic violence. And then there is the little green-skinned girl named Elphaba, who will grow up to be the infamous Wicked Witch of the West, a smart, prickly and misunderstood creature who challenges all our preconceived notions about the nature of good and evil.","2024-08-13"
"135073","9780805070897","Non-Fiction","",0,,,384,1,,,,,0,1,"","","Why People Believe Weird Things: Pseudoscience, Superstition, and Other Confusions of Our Time","Pseudoscience, Superstition, and Other Confusions of Our Time","en","Politics & Government,Philosophy Of Science,Mind, Body & Spirit","Michael Shermer","","","","","","Holt Paperbacks",384,"2002-09-01","paperback",,,,,,,,,,,,,,"Revised and Expanded Edition.

In this age of supposed scientific enlightenment, many people still believe in mind reading, past-life regression theory, New Age hokum, and alien abduction. A no-holds-barred assault on popular superstitions and prejudices, with more than 80,000 copies in print, Why People Believe Weird Things debunks these nonsensical claims and explores the very human reasons people find otherworldly phenomena, conspiracy theories, and cults so appealing. In an entirely new chapter, ""Why Smart People Believe in Weird Things,"" Michael Shermer takes on science luminaries like physicist Frank Tippler and others, who hide their spiritual beliefs behind the trappings of science.

Shermer, science historian and true crusader, also reveals the more dangerous side of such illogical thinking, including Holocaust denial, the recovered-memory movement, the satanic ritual abuse scare, and other modern crazes. Why People Believe Strange Things is an eye-opening resource for the most gullible among us and those who want to protect them.","2023-12-18"
"1737924","9780765343581","Fiction","",0,,,0,0,,,,,0,1,"","","White Jenna (Great Alta, #2)","Book Two of the Great Alta Saga","en","Fantasy,Science Fiction","J Yolan","","","","","","Tor Teen",272,"2004-01-05","paperback","Great Alta",2,,,,,,,,,,,,"World Fantasy Award for Best Novel
ALA Best Books for Young Adults

Book Two of the Great Alta Saga

Jenna was the White Queen.

Skada was the Dark Queen. She is bound to Jenna—the other half of Jenna’s self. Drawn out of a mirror by a rite of magic, a “dark sister” is confined to the dark. She vanishes in daylight. It is in this other world the dark sisters wait for moonlight or lamplight to call them forth again.

This is their story: of myths turned real, ordinary people turned heroes, a land turned inside out by the coming of White Jenna.","2023-03-23"
"51370","9780886776312","Fiction","",0,,,320,1,,,,,0,1,"","","The White Gryphon",,"en","Sci-Fi & Fantasy,Fiction,Fantasy","Mercedes Lackey,Larry Dixon","","","","","","DAW",320,"1995-04-01","hardcover",,,,,,,,,,,,,,"It has been ten years since the magical Cataclysm, which destroyed the twin strongholds of the two world's most powerful Mages, killing Urtho, creator of the gryphons, and sending his forces into exile. Now Urthro's peoples--human and non-human alike live in a terraced city carved into the face of a gleaming white cliff on the edge of the Western Ocean. Secure at least, ...until the fleet of the mysterious Black Kings appears in their harbor, bringing envoys who inform the residents of White Gryphon that their newfound home lies on the northern perimeter of lands claimed by this powerful kingdom. Desperate not to lose their hard won home, Skandranon, along with his longtime friend Amberdrake--agree to accompany the envoys back to the Court of the Black Kings, hoping to negotiate an alliance. ...When a high ranking noble who opposes this alliance is found murdered--Skandranon and Amberdrake realize that they are up against unknown enemies who will stop at nothing, even the use of diabolical Blood Magic, to destroy White Gryphon.","2023-08-17"
