date,temperature,humidity,weather,wind_speed,traffic_level,air_quality,rainfall
2022-02-21,42,63,Cloudy,5,Low,Good,0.35082114597049285
2022-02-22,---,61,Snowy,16,High,Fair,---
2022-02-23,45,36,Cloudy,4,Medium,Fair,0.0
2022-02-24,36,55,Rainy,9,Low,Poor,0.0
2022-02-25,27,54,Rainy,4,High,Good,1.2404845853835742
2022-02-26,28,68,Snowy,16,High,Good,0.0
2022-02-27,27,46,Cloudy,18,High,Poor,0.0
2022-02-28,45,53,Cloudy,5,Medium,Fair,0.0
2022-03-01,54,56,Cloudy,21,Medium,Good,1.1247428242568476
2022-03-02,30,33,Cloudy,14,Medium,Fair,2.0950265778143615
2022-03-03,51,56,Rainy,3,High,Poor,0.0
2022-03-04,51,59,Rainy,16,High,Good,2.0347184343160043
2022-03-05,42,32,Rainy,0,Low,Fair,2.004144407864609
2022-03-06,48,35,Sunny,17,Low,Good,1.9733024639121282
2022-03-07,42,37,Rainy,25,Medium,Good,0.9422017415921792
2022-03-08,---,45,Cloudy,9,Medium,Fair,---
2022-03-09,57,44,Sunny,18,Low,Fair,0.0
2022-03-10,45,65,Cloudy,1,Medium,Good,1.847439429580938
2022-03-11,---,69,Rainy,16,Low,Poor,0.0
2022-03-12,---,---,Sunny,17,Low,Good,---
2022-03-13,38,68,Sunny,12,Low,Poor,0.0
2022-03-14,25,59,Rainy,6,High,Good,1.718033988749895
2022-03-15,54,41,Sunny,28,Medium,Fair,2.6852006712666974
2022-03-16,25,33,Sunny,19,High,Poor,0.0
2022-03-17,---,43,Sunny,4,Medium,Poor,0.0
2022-03-18,31,54,Sunny,3,High,Good,0.5856994441918717
2022-03-19,55,34,Sunny,6,Medium,Good,2.5522313710165765
2022-03-20,29,52,Sunny,4,Medium,Poor,2.5186292919260973
2022-03-21,---,59,Rainy,18,Low,Fair,0.0
2022-03-22,---,68,Sunny,19,High,Poor,0.45106298084285645
2022-03-23,---,41,Rainy,6,High,Poor,0.0
2022-03-24,31,44,Cloudy,12,Medium,Fair,0.0
2022-03-25,---,---,Cloudy,3,High,Fair,2.3489585277735787
2022-03-26,35,55,Cloudy,14,Medium,Good,0.0
2022-03-27,---,33,Sunny,29,Medium,Good,0.28050322006208234
2022-03-28,---,67,Cloudy,19,Low,Good,0.24619025979615555
2022-03-29,33,37,Cloudy,28,Medium,Fair,2.2118339802012064
2022-03-30,51,59,Cloudy,24,High,Poor,0.0
2022-03-31,---,44,Sunny,17,Low,Fair,---
2022-04-01,---,41,Cloudy,3,Medium,Good,2.1086070765924885
2022-04-02,46,39,Rainy,29,Low,Poor,0.0
2022-04-03,46,---,Sunny,27,Low,Good,0.0
2022-04-04,---,46,Cloudy,3,Medium,Poor,0.0
2022-04-05,68,69,Rainy,1,High,Fair,0.0
2022-04-06,---,31,Sunny,21,Medium,Good,---
2022-04-07,57,48,Rainy,19,Medium,Fair,0.9023597225342576
2022-04-08,54,---,Sunny,22,Medium,Fair,1.8681308008089992
2022-04-09,58,30,Cloudy,27,Medium,Fair,0.0
2022-04-10,---,51,Rainy,4,Medium,Poor,0.0
2022-04-11,68,54,Rainy,24,High,Fair,0.765896748995762
2022-04-12,37,39,Cloudy,21,Low,Fair,0.0
2022-04-13,59,38,Sunny,7,High,Poor,1.69821888973873
2022-04-14,58,48,Cloudy,10,Medium,Fair,0.6645535392069369
2022-04-15,---,41,Cloudy,10,Low,Fair,0.0
2022-04-16,62,58,Sunny,29,Low,Fair,0.0
2022-04-17,60,47,Rainy,17,Low,Poor,0.0
2022-04-18,56,45,Rainy,29,High,Poor,0.0
2022-04-19,65,33,Rainy,29,High,Good,1.4983603847286653
2022-04-20,47,54,Rainy,26,High,Fair,0.0
2022-04-21,45,51,Cloudy,24,Medium,Poor,0.0
2022-04-22,73,58,Rainy,18,High,Fair,0.0
2022-04-23,63,51,Rainy,16,High,Poor,0.0
2022-04-24,---,44,Rainy,0,High,Poor,1.3366215594666824
2022-04-25,51,31,Rainy,4,Low,Poor,1.3049143714348883
2022-04-26,71,42,Rainy,2,Low,Good,0.0
2022-04-27,53,41,Sunny,27,Medium,Fair,0.24221612417503302
2022-04-28,73,55,Cloudy,13,Low,Poor,1.2112436437907736
2022-04-29,50,69,Rainy,1,Medium,Fair,0.0
2022-04-30,73,41,Rainy,27,Low,Poor,1.1500978558659
2022-05-01,---,---,Cloudy,2,Medium,Fair,0.11994266714188151
2022-05-02,51,64,Rainy,2,Medium,Fair,0.0
2022-05-03,69,31,Cloudy,19,Low,Poor,0.0
2022-05-04,64,46,Sunny,20,Low,Fair,0.0
2022-05-05,70,31,Rainy,26,High,Good,0.0
2022-05-06,49,46,Rainy,12,High,Good,0.0
2022-05-07,---,63,Sunny,7,Medium,Fair,0.0
2022-05-08,65,---,Rainy,21,Medium,Fair,0.0
2022-05-09,80,68,Sunny,13,Medium,Poor,0.8898878607023024
2022-05-10,72,38,Sunny,17,Low,Poor,0.0
2022-05-11,54,43,Rainy,26,Low,Fair,0.0
2022-05-12,68,49,Sunny,19,High,Fair,0.8093037735408999
2022-05-13,82,62,Rainy,12,Low,Fair,0.0
2022-05-14,64,53,Rainy,17,Medium,Fair,0.0
2022-05-15,82,34,Rainy,0,High,Good,0.0
2022-05-16,82,61,Sunny,1,Low,Fair,0.7072475488062557
2022-05-17,50,52,Sunny,4,Medium,Poor,0.0
2022-05-18,59,30,Sunny,10,Low,Good,0.0
2022-05-19,73,67,Cloudy,10,Low,Fair,0.0
2022-05-20,54,61,Rainy,0,Low,Poor,0.0
2022-05-21,---,45,Sunny,28,Medium,Good,0.0
2022-05-22,57,49,Cloudy,26,Medium,Fair,0.5666823613996821
2022-05-23,84,45,Rainy,2,Low,Fair,0.0
2022-05-24,75,42,Rainy,28,Medium,Fair,0.0
2022-05-25,61,---,Rainy,1,Low,Fair,0.0
2022-05-26,81,46,Cloudy,13,High,Good,0.0
2022-05-27,80,36,Sunny,19,Medium,Poor,0.4619702266638406
2022-05-28,76,51,Sunny,15,Low,Fair,0.0
2022-05-29,55,60,Sunny,17,Low,Good,0.0
2022-05-30,71,33,Sunny,4,Low,Good,0.0
2022-05-31,74,46,Rainy,7,High,Poor,0.0
2022-06-01,---,30,Sunny,21,Medium,Good,0.0
2022-06-02,73,31,Sunny,6,Low,Good,0.0
2022-06-03,75,62,Sunny,9,Low,Poor,0.0
2022-06-04,81,48,Sunny,15,Low,Good,0.0
2022-06-05,80,48,Cloudy,18,Medium,Good,0.0
2022-06-06,79,52,Sunny,29,High,Poor,0.0
2022-06-07,54,45,Sunny,21,High,Good,0.0
2022-06-08,57,45,Sunny,28,Low,Poor,0.0
2022-06-09,62,58,Cloudy,10,Low,Fair,0.0
2022-06-10,71,37,Sunny,18,Medium,Fair,0.0
2022-06-11,66,57,Sunny,2,Low,Fair,0.2232452165182719
2022-06-12,66,54,Cloudy,29,High,Fair,0.0
2022-06-13,---,54,Cloudy,17,Medium,Good,---
2022-06-14,60,42,Cloudy,3,Medium,Fair,0.0
2022-06-15,---,43,Sunny,24,Low,Poor,0.0
2022-06-16,70,48,Sunny,19,High,Poor,0.0
2022-06-17,61,44,Sunny,16,Medium,Poor,0.0
2022-06-18,---,44,Cloudy,23,Medium,Poor,---
2022-06-19,---,50,Cloudy,12,Low,Fair,---
2022-06-20,---,37,Sunny,3,High,Poor,0.0
2022-06-21,90,57,Cloudy,13,High,Fair,0.0
2022-06-22,---,45,Sunny,24,Medium,Poor,---
2022-06-23,56,53,Sunny,2,High,Poor,0.0
2022-06-24,85,41,Cloudy,20,Low,Fair,0.0
2022-06-25,56,43,Sunny,3,Low,Fair,0.0
2022-06-26,73,59,Cloudy,17,Medium,Good,0.0
2022-06-27,85,61,Cloudy,12,Medium,Good,0.0
2022-06-28,83,48,Cloudy,6,High,Good,0.0
2022-06-29,90,34,Sunny,10,Low,Poor,0.0
2022-06-30,77,58,Sunny,10,High,Poor,0.0
2022-07-01,---,31,Sunny,5,High,Poor,0.10007408176746901
2022-07-02,73,53,Cloudy,10,Medium,Good,0.0
2022-07-03,71,46,Sunny,8,Low,Good,0.0
2022-07-04,57,56,Cloudy,15,Low,Good,0.0
2022-07-05,---,32,Cloudy,27,High,Poor,---
2022-07-06,---,47,Sunny,4,Low,Fair,0.0
2022-07-07,73,50,Sunny,19,Low,Good,0.0
2022-07-08,78,68,Cloudy,22,High,Fair,0.0
2022-07-09,69,30,Sunny,5,Medium,Poor,0.0
2022-07-10,---,---,Sunny,3,Medium,Good,0.0
2022-07-11,---,52,Sunny,7,Medium,Poor,---
2022-07-12,---,45,Sunny,24,High,Fair,0.0
2022-07-13,60,---,Cloudy,24,Low,Poor,0.13906167927673563
2022-07-14,---,64,Cloudy,15,High,Poor,0.0
2022-07-15,62,68,Cloudy,15,High,Good,0.0
2022-07-16,---,51,Sunny,10,Medium,Fair,0.0
2022-07-17,64,64,Sunny,19,Low,Good,0.0
2022-07-18,63,62,Sunny,13,Medium,Poor,0.0
2022-07-19,---,65,Cloudy,7,Low,Poor,---
2022-07-20,57,69,Sunny,24,Low,Fair,0.0
2022-07-21,60,57,Sunny,5,Medium,Poor,0.21162498233160099
2022-07-22,84,40,Sunny,7,Medium,Good,0.22324521651827145
2022-07-23,84,34,Sunny,18,High,Fair,0.0
2022-07-24,---,47,Sunny,7,Low,Poor,0.0
2022-07-25,71,33,Sunny,28,Low,Good,0.0
2022-07-26,65,67,Sunny,24,Low,Good,0.0
2022-07-27,---,60,Cloudy,0,Low,Fair,---
2022-07-28,78,53,Cloudy,12,Low,Poor,0.0
2022-07-29,57,59,Sunny,7,High,Good,0.0
2022-07-30,65,68,Sunny,20,Low,Fair,0.33590395008829255
2022-07-31,68,60,Sunny,8,High,Good,0.0
2022-08-01,56,41,Sunny,15,Medium,Poor,0.36938549127358744
2022-08-02,---,32,Sunny,20,High,Good,---
2022-08-03,82,59,Cloudy,4,High,Poor,0.40491815421433763
2022-08-04,55,37,Cloudy,10,High,Good,0.0
2022-08-05,---,39,Sunny,16,Medium,Poor,0.0
2022-08-06,67,53,Sunny,20,Low,Good,0.0
2022-08-07,---,30,Sunny,26,High,Good,0.0
2022-08-08,---,47,Cloudy,8,Medium,Fair,0.0
2022-08-09,84,51,Cloudy,16,High,Poor,0.0
2022-08-10,62,60,Sunny,14,High,Good,0.0
2022-08-11,56,56,Sunny,0,Medium,Fair,0.0
2022-08-12,80,45,Cloudy,20,High,Good,0.0
2022-08-13,54,47,Cloudy,23,High,Fair,0.0
2022-08-14,82,---,Cloudy,15,Low,Good,0.6350118567728418
2022-08-15,79,47,Cloudy,12,Medium,Fair,0.0
2022-08-16,---,33,Cloudy,19,High,Poor,0.0
2022-08-17,76,69,Sunny,23,Medium,Good,0.0
2022-08-18,78,39,Sunny,23,Medium,Poor,0.0
2022-08-19,56,59,Sunny,2,Low,Poor,0.0
2022-08-20,59,33,Sunny,27,Low,Fair,0.0
2022-08-21,81,37,Cloudy,13,Low,Poor,0.0
2022-08-22,61,46,Sunny,2,High,Fair,0.8357931776253025
2022-08-23,58,64,Cloudy,17,High,Fair,0.0
2022-08-24,---,34,Cloudy,23,High,Fair,---
2022-08-25,---,56,Cloudy,27,High,Fair,0.0
